,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,C_0,C_1,C_30,C_31,C_32,C_33,C_34,C_2,C_21,C_26,C_27,C_28,C_29,C_22,C_23,C_24,C_25,C_3,C_12,C_19,C_20,C_13,C_14,C_17,C_18,C_15,C_16,C_4,C_8,C_10,C_11,C_9,C_5,C_6,C_7
124,124,,KM233091,KM233091v1.KM233091v1,G3817_2014,Ebola 2014,30,0.9998,0.9998,0.9998,0.9702,0.9712,0.9656,0.9680,0.6346,0.6346,0.6346,0.6325,0.6273,0.6296,0.6323,0.6323,0.6327,0.6327,0.6311,0.6304,0.6304,0.6303,0.6337,0.6337,0.6337,0.6349,0.6093,0.6093,0.6576,0.6576,0.6575,0.6564,0.6587,0.6467,0.3790,0.3986
125,125,,KM233092,KM233092v1.KM233092v1,G3818_2014,Ebola 2014,30,0.9998,0.9999,0.9999,0.9703,0.9714,0.9658,0.9681,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6330,0.6330,0.6335,0.6335,0.6315,0.6308,0.6308,0.6307,0.6339,0.6342,0.6342,0.6353,0.6073,0.6084,0.6578,0.6578,0.6577,0.6567,0.6590,0.6470,0.3777,0.3974
126,126,,KM233093,KM233093v1.KM233093v1,G3819_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9713,0.9657,0.9681,0.6343,0.6343,0.6343,0.6322,0.6271,0.6293,0.6322,0.6322,0.6326,0.6326,0.6308,0.6301,0.6301,0.6300,0.6334,0.6334,0.6334,0.6345,0.6095,0.6096,0.6573,0.6573,0.6572,0.6562,0.6586,0.6465,0.3791,0.3988
127,127,,KM233094,KM233094v1.KM233094v1,G3820_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9705,0.9715,0.9659,0.9682,0.6348,0.6348,0.6348,0.6327,0.6276,0.6298,0.6327,0.6327,0.6331,0.6331,0.6313,0.6306,0.6306,0.6306,0.6339,0.6339,0.6339,0.6350,0.6081,0.6083,0.6576,0.6576,0.6575,0.6566,0.6589,0.6468,0.3782,0.3979
128,128,,KM233095,KM233095v1.KM233095v1,G3821_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9713,0.9657,0.9680,0.6342,0.6342,0.6342,0.6321,0.6270,0.6291,0.6321,0.6321,0.6324,0.6325,0.6306,0.6300,0.6300,0.6299,0.6332,0.6333,0.6333,0.6344,0.6097,0.6094,0.6574,0.6574,0.6572,0.6563,0.6586,0.6465,0.3794,0.3992
129,129,,KM233096,KM233096v1.KM233096v1,G3822_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6352,0.6352,0.6352,0.6331,0.6280,0.6302,0.6331,0.6331,0.6336,0.6336,0.6316,0.6309,0.6309,0.6308,0.6340,0.6343,0.6343,0.6354,0.6072,0.6086,0.6579,0.6579,0.6578,0.6569,0.6592,0.6472,0.3776,0.3973
130,130,,KM233097,KM233097v1.KM233097v1,G3823_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9705,0.9715,0.9659,0.9682,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6331,0.6331,0.6334,0.6335,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6072,0.6086,0.6579,0.6579,0.6578,0.6570,0.6592,0.6472,0.3776,0.3973
131,131,,KM233098,KM233098v1.KM233098v1,G3825v1_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9714,0.9659,0.9682,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6330,0.6330,0.6334,0.6334,0.6315,0.6309,0.6309,0.6308,0.6340,0.6342,0.6342,0.6353,0.6073,0.6085,0.6579,0.6579,0.6578,0.6568,0.6591,0.6471,0.3777,0.3974
132,132,,KM233099,KM233099v1.KM233099v1,G3825v2_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6331,0.6331,0.6335,0.6335,0.6316,0.6309,0.6309,0.6308,0.6341,0.6343,0.6343,0.6354,0.6073,0.6085,0.6579,0.6579,0.6578,0.6569,0.6591,0.6471,0.3777,0.3973
133,133,,KM233100,KM233100v1.KM233100v1,G3826_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9714,0.9658,0.9681,0.6349,0.6349,0.6349,0.6328,0.6277,0.6299,0.6328,0.6328,0.6333,0.6333,0.6314,0.6307,0.6307,0.6306,0.6340,0.6340,0.6340,0.6351,0.6079,0.6083,0.6577,0.6577,0.6576,0.6566,0.6589,0.6469,0.3780,0.3978
134,134,,KM233101,KM233101v1.KM233101v1,G3827_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9713,0.9657,0.9681,0.6344,0.6344,0.6344,0.6323,0.6272,0.6294,0.6323,0.6323,0.6327,0.6327,0.6309,0.6303,0.6303,0.6302,0.6335,0.6336,0.6336,0.6347,0.6093,0.6091,0.6575,0.6575,0.6574,0.6564,0.6587,0.6467,0.3791,0.3990
135,135,,KM233102,KM233102v1.KM233102v1,G3829_2014,Ebola 2014,30,0.9998,0.9999,0.9999,0.9703,0.9714,0.9658,0.9681,0.6350,0.6350,0.6350,0.6329,0.6278,0.6300,0.6329,0.6329,0.6333,0.6333,0.6314,0.6308,0.6308,0.6306,0.6339,0.6341,0.6341,0.6352,0.6074,0.6083,0.6577,0.6577,0.6576,0.6567,0.6589,0.6469,0.3777,0.3974
136,136,,KM233103,KM233103v1.KM233103v1,G3831_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9704,0.9714,0.9659,0.9682,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6330,0.6330,0.6334,0.6334,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6074,0.6086,0.6579,0.6579,0.6578,0.6569,0.6592,0.6471,0.3776,0.3973
137,137,,KM233104,KM233104v1.KM233104v1,G3834_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9714,0.9658,0.9681,0.6349,0.6349,0.6349,0.6328,0.6277,0.6299,0.6328,0.6328,0.6333,0.6333,0.6315,0.6308,0.6308,0.6307,0.6340,0.6342,0.6342,0.6353,0.6082,0.6098,0.6579,0.6579,0.6578,0.6568,0.6591,0.6471,0.3783,0.3980
138,138,,KM233105,KM233105v1.KM233105v1,G3838_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6347,0.6347,0.6347,0.6326,0.6275,0.6297,0.6326,0.6326,0.6330,0.6330,0.6312,0.6305,0.6305,0.6305,0.6337,0.6338,0.6338,0.6349,0.6082,0.6080,0.6576,0.6576,0.6575,0.6566,0.6589,0.6468,0.3784,0.3981
139,139,,KM233106,KM233106v1.KM233106v1,G3840_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9715,0.9659,0.9682,0.6350,0.6350,0.6350,0.6329,0.6279,0.6300,0.6330,0.6330,0.6334,0.6334,0.6314,0.6308,0.6308,0.6307,0.6339,0.6341,0.6341,0.6352,0.6075,0.6084,0.6578,0.6578,0.6577,0.6567,0.6590,0.6470,0.3778,0.3975
140,140,,KM233107,KM233107v1.KM233107v1,G3841_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9704,0.9714,0.9658,0.9682,0.6344,0.6344,0.6344,0.6323,0.6271,0.6293,0.6322,0.6322,0.6326,0.6327,0.6309,0.6303,0.6303,0.6302,0.6335,0.6336,0.6336,0.6347,0.6093,0.6092,0.6574,0.6574,0.6573,0.6565,0.6588,0.6466,0.3792,0.3989
141,141,,KM233108,KM233108v1.KM233108v1,G3845_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9714,0.9658,0.9682,0.6347,0.6347,0.6347,0.6327,0.6276,0.6297,0.6326,0.6326,0.6330,0.6331,0.6312,0.6305,0.6305,0.6304,0.6337,0.6338,0.6338,0.6349,0.6082,0.6080,0.6576,0.6576,0.6575,0.6566,0.6589,0.6469,0.3784,0.3981
142,142,,KM233109,KM233109v1.KM233109v1,G3846_2014,Ebola 2014,30,0.9998,0.9999,0.9999,0.9704,0.9714,0.9658,0.9681,0.6352,0.6352,0.6352,0.6331,0.6281,0.6302,0.6332,0.6332,0.6336,0.6336,0.6316,0.6310,0.6310,0.6308,0.6341,0.6343,0.6343,0.6354,0.6070,0.6085,0.6580,0.6580,0.6579,0.6569,0.6592,0.6471,0.3776,0.3973
143,143,,KM233110,KM233110v1.KM233110v1,G3848_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6352,0.6352,0.6352,0.6331,0.6280,0.6302,0.6331,0.6331,0.6336,0.6336,0.6317,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6355,0.6071,0.6086,0.6580,0.6580,0.6579,0.6569,0.6592,0.6472,0.3776,0.3973
144,144,,KM233111,KM233111v1.KM233111v1,G3850_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9714,0.9658,0.9682,0.6340,0.6340,0.6340,0.6319,0.6267,0.6289,0.6321,0.6321,0.6325,0.6325,0.6308,0.6301,0.6301,0.6300,0.6335,0.6337,0.6337,0.6348,0.6115,0.6113,0.6577,0.6577,0.6576,0.6566,0.6588,0.6462,0.3817,0.4016
145,145,,KM233112,KM233112v1.KM233112v1,G3851_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9714,0.9658,0.9681,0.6349,0.6349,0.6349,0.6328,0.6277,0.6298,0.6328,0.6328,0.6331,0.6332,0.6313,0.6307,0.6307,0.6306,0.6339,0.6340,0.6340,0.6351,0.6082,0.6082,0.6578,0.6578,0.6576,0.6567,0.6590,0.6469,0.3782,0.3979
146,146,,KM233113,KM233113v1.KM233113v1,G3856v1_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9715,0.9659,0.9682,0.6352,0.6352,0.6352,0.6331,0.6281,0.6302,0.6332,0.6332,0.6336,0.6336,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6070,0.6086,0.6580,0.6580,0.6579,0.6569,0.6592,0.6472,0.3775,0.3972
147,147,,KM233114,KM233114v1.KM233114v1,G3856v3_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9704,0.9714,0.9658,0.9682,0.6349,0.6349,0.6349,0.6328,0.6277,0.6299,0.6328,0.6328,0.6332,0.6332,0.6313,0.6307,0.6307,0.6306,0.6339,0.6340,0.6340,0.6351,0.6076,0.6083,0.6576,0.6576,0.6575,0.6566,0.6589,0.6469,0.3779,0.3976
148,148,,KM233115,KM233115v1.KM233115v1,G3857_2014,Ebola 2014,30,0.9999,0.9999,0.9999,0.9703,0.9713,0.9657,0.9680,0.6341,0.6341,0.6341,0.6321,0.6269,0.6291,0.6321,0.6321,0.6324,0.6325,0.6308,0.6302,0.6302,0.6301,0.6335,0.6339,0.6339,0.6349,0.6107,0.6105,0.6576,0.6576,0.6574,0.6565,0.6587,0.6467,0.3800,0.3998
149,149,,KM233116,KM233116v1.KM233116v1,NM042v1_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9704,0.9715,0.9659,0.9682,0.6348,0.6348,0.6348,0.6327,0.6277,0.6298,0.6327,0.6327,0.6332,0.6332,0.6312,0.6306,0.6306,0.6305,0.6339,0.6339,0.6339,0.6350,0.6081,0.6082,0.6576,0.6576,0.6575,0.6566,0.6588,0.6468,0.3782,0.3979
150,150,,KM233117,KM233117v1.KM233117v1,NM042v2_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9714,0.9657,0.9682,0.6345,0.6345,0.6345,0.6326,0.6272,0.6296,0.6325,0.6325,0.6329,0.6329,0.6306,0.6299,0.6299,0.6298,0.6333,0.6336,0.6336,0.6346,0.6120,0.6118,0.6583,0.6583,0.6582,0.6573,0.6595,0.6467,0.3830,0.4030
151,151,,KM233118,KM233118v1.KM233118v1,NM042v3_2014,Ebola 2014,30,0.9999,1.0000,1.0000,0.9703,0.9714,0.9658,0.9681,0.6354,0.6354,0.6354,0.6333,0.6281,0.6303,0.6329,0.6329,0.6333,0.6334,0.6309,0.6303,0.6303,0.6302,0.6337,0.6342,0.6342,0.6353,0.6148,0.6147,0.6591,0.6591,0.6590,0.6580,0.6602,0.6467,0.3825,0.4017
152,152,,NC_001608,NC_001608v3.NC_001608v3,Marburg_MtElgon_Musoke_Kenya_1980,Marburg 1987,7,0.5565,0.5565,0.5565,0.5531,0.5544,0.5517,0.5534,0.4916,0.4916,0.4916,0.4899,0.4900,0.4899,0.4892,0.4892,0.4892,0.4902,0.4887,0.4877,0.4877,0.4883,0.4913,0.4910,0.4910,0.4908,0.4740,0.4721,0.5007,0.5007,0.5007,0.5007,0.4991,0.4993,0.6326,1.0000
153,153,,NC_002549,NC_002549v1.NC_002549v1,NC_002549v1_1976,Zaire(DRC) 1976-7,31,0.9705,0.9704,0.9704,0.9999,0.9812,0.9858,0.9782,0.6311,0.6311,0.6311,0.6291,0.6242,0.6268,0.6284,0.6284,0.6292,0.6294,0.6309,0.6304,0.6304,0.6305,0.6333,0.6329,0.6329,0.6341,0.6062,0.6069,0.6557,0.6557,0.6556,0.6543,0.6567,0.6454,0.3770,0.3947
154,154,,NC_004161,NC_004161v1.NC_004161v1,Pennsylvania_1990,Reston 1989-90,19,0.6480,0.6480,0.6480,0.6473,0.6471,0.6460,0.6456,0.5856,0.5856,0.5856,0.5853,0.5838,0.5834,0.5870,0.5870,0.5884,0.5873,0.9822,1.0000,1.0000,0.9696,0.9362,0.9294,0.9294,0.9249,0.8787,0.8762,0.5883,0.5883,0.5883,0.5878,0.5874,0.5792,0.3472,0.3575
155,155,,NC_006432,NC_006432v1.NC_006432v1,Gulu_2000,Sudan 1976-9,27,0.6454,0.6454,0.6454,0.6413,0.6417,0.6411,0.6404,0.9728,0.9728,0.9728,0.9997,0.9535,0.9790,0.8727,0.8727,0.8884,0.8733,0.5811,0.5811,0.5811,0.5799,0.5805,0.5829,0.5829,0.5839,0.5628,0.5654,0.5799,0.5799,0.5799,0.5797,0.5822,0.5695,0.3472,0.3564
156,156,,NC_014372,NC_014372v1.NC_014372v1,Cote_dIvoire_1994,Bundibugyo 2007,5,0.6823,0.6823,0.6823,0.6804,0.6805,0.6795,0.6807,0.5901,0.5901,0.5901,0.5888,0.5887,0.5877,0.5932,0.5932,0.5924,0.5935,0.5941,0.5946,0.5946,0.5931,0.5951,0.5931,0.5931,0.5934,0.5760,0.5751,0.6711,0.6711,0.6711,0.6711,0.6718,1.0000,0.3625,0.3757
157,157,,NC_014373,NC_014373v1.NC_014373v1,Bundibugyo_2007,Bundibugyo 2007,9,0.6716,0.6716,0.6716,0.6691,0.6700,0.6680,0.6681,0.5825,0.5825,0.5825,0.5819,0.5800,0.5791,0.5820,0.5820,0.5817,0.5822,0.5830,0.5828,0.5828,0.5837,0.5841,0.5837,0.5837,0.5842,0.5642,0.5668,0.9316,0.9316,0.9315,0.9439,0.9998,0.6493,0.3519,0.3629
158,158,,NC_024781,NC_024781v1.NC_024781v1,Marburg_KitumCave_Kenya_1987,Marburg 1987,6,0.5571,0.5571,0.5571,0.5564,0.5567,0.5541,0.5564,0.5022,0.5022,0.5022,0.5026,0.5011,0.5023,0.5030,0.5030,0.5028,0.5023,0.4991,0.4989,0.4989,0.4983,0.5023,0.5030,0.5030,0.5029,0.4832,0.4824,0.5085,0.5085,0.5084,0.5085,0.5097,0.5074,1.0000,0.6663
159,159,,KM034562,eboVir3.KM034562v1,G3686v1_2014,Ebola 2014,30,0.9997,0.9996,0.9996,0.9706,0.9717,0.9661,0.9684,0.6353,0.6353,0.6353,0.6332,0.6281,0.6303,0.6332,0.6332,0.6336,0.6336,0.6319,0.6312,0.6312,0.6312,0.6343,0.6344,0.6344,0.6355,0.6072,0.6089,0.6580,0.6580,0.6579,0.6571,0.6593,0.6473,0.3775,0.3973
